,,,
number,kanji,yomi,meaning_ru
1,一,イチ ・ イツ ・ ひとつ,один
2,七,シチ ・ ななつ ・ なな,семь
3,万,マン・ バン・ よろず,десять тысяч
4,三,サン・ みつ ・ みっつ,три
5,上,ジョウ・ うえ ・ あがる,"верх, подниматься, повышаться"
6,下,カ・ ゲ・ した・ さげる ・ さがる,"низ, вешать, свешиваться"
7,中,チュウ・ なか ・ うち,"середина, внутренняя часть, внутри"
8,九,キュウ・ ク・ ここのつ,девять
9,二,ニ・ ジ・ ふたつ,два
10,五,ゴ・ いつつ,пять
11,人,ジン・ ニン・ ひと,человек
12,今,コン・ キン・ いま,сейчас
13,休,キュウ・ やすみ ・ やすむ,"отдых, отдыхать, не работать"
14,会,カイ・ あう,"встреча, собрание, встречаться"
15,住,ジュウ・ ヂュウ・ チュウ・ すむ,"жить, проживать"
16,何,カ・ なに ・ なん,что?
17,先,セン・ さき・ まず,"впереди, кончик, острие, раньше, сначала, прежде всего"
18,入,ニュウ・ いる ・ いれる ・ はいる,"входить, вставлять, входить"
19,八,ハチ ・ やつ ・ やっつ,восемь
20,六,ロク ・ むつ ・ むっつ,шесть
21,円,エン・ まるい ・ まる,"иена, круглый, круг"
22,出,シュツ ・ でる ・ だす,"выходить, появляться, вынимать, выдавать"
23,分,ブン・ フン・ ブ・ わかる ・ わける ・わかれる,"доля, минута, процент, понимать, делить, разделяться"
24,前,ゼン・ まえ,"перед, впереди, передний"
25,北,ホク ・ きた,север
26,十,ジュウ・ ジッ・ ジュッ・ とお,десять
27,千,セン・ ち,тысяча
28,午,ゴ・ うま,"полдень, Лошадь"
29,半,ハン・ なかば,"половина, наполовину, в середине"
30,南,ナン・ みなみ,юг
31,友,ユウ・ とも,друг
32,口,コウ・ ク・ くち,рот
33,古,コ・ ふるい,старый
34,右,ウ・ ユウ・ みぎ,правый
35,名,メイ・ ミョウ・ な,"имя, название, репутация, известность"
36,四,シ・ よつ ・ よっつ ・ よん,четыре
37,国,コク ・ くに,"страна, государство, родина"
38,土,ド・ ト・ つち,"земля, почва"
39,夕,セキ ・ ゆう,вечер
40,外,ガイ・ ゲ・ そと ・ ほか,"вне, снаружи, на улице, другой, кроме"
41,多,タ・ おおい,"много, частый"
42,夜,ヤ・ よる,"ночь, поздний вечер"
43,大,ダイ・ タイ・ おおきい,большой
44,天,テン・ あめ,небо
45,女,ジョ ・ ニョ ・ ニョウ・ おんな,женщина
46,子,シ・ ス・ こ,ребенок
47,学,ガク ・ まなぶ,"учение, знание, наука, изучать"
48,安,アン・ やすい,"дешевый, спокойный"
49,家,カ・ ケ・ いえ ・ うち,дом
50,小,ショウ・ ちいさい ・ こ-,маленький
51,少,ショウ・ すくない ・ すこし,"мало, немножко"
52,山,サン・ やま,гора
53,川,セン・ かわ,река
54,左,サ・ ひだり,левый
55,年,ネン・ とし,год
56,広,コウ・ ひろい ・ ひろがる ・ ひろめる,"широкий, расширяться, расширять"
57,店,テン・ みせ,"магазин, лавка"
58,後,ゴ・ コウ・ あと ・ のち・ うしろ,"после, потом, позади, сзади"
59,思,シ・ おもう,"думать, полагать"
60,手,シュ・ て,рука
61,新,シン・ あたらしい ・ あらた・ あら-,новый
62,日,ニチ ・ ジツ ・ ひ,"день, солнце"
63,昼,チュウ・ ひる,"дневное время, середина дня"
64,時,ジ・ とき,"время, час"
65,書,ショ ・ かく,писать
66,月,ゲツ ・ ガツ ・ つき,"месяц, луна"
67,有,ユウ・ ウ・ ある,"иметься, существовать, быть"
68,朝,チョウ・ あさ,утро
69,木,ボク ・ モク ・ き,дерево
70,本,ホン・ もと,"книга, источник, основа"
71,来,ライ・ タイ・ くる,"приходить, прибывать, наступать (о времени года)"
72,東,トウ・ ひがし,восток
73,校,コウ・ キョウ,школа
74,歩,ホ・ ブ・ あるく,ходить (пешком)
75,母,ボ・ はは,мама
76,毎,マイ・ ごと,"каждый (день, етк)"
77,気,キ・ ケ・ き,"дух, воздух, пар, атмосфера, чувства, настроение"
78,水,スイ・ みず,вода
79,火,カ・ ひ,"огонь, пламя"
80,父,フ・ ちち,папа
81,生,セイ・ ショウ・ いきる ・ うまれる ・うむ ・ なま,"жизнь, жить, быть живым, рождаться, рождать, приносить, сырой"
82,男,ダン・ ナン・ おとこ,мужчина
83,白,ハク ・ ビャク ・ しろい ・ しろ,"белый, белый цвет"
84,百,ヒャク ・ ビャク ・ もも,"сто, много"
85,目,モク ・ ボク ・ め,"глаз, суффикс порядковых числительных"
86,知,チ・ しる ・ しらせ ・ しらせる,"знания, знать, извещение, извещать"
87,社,シャ・ やしろ,"фирма, синтоистское святилище"
88,私,シ・ わたくし ・ わたし,"я, частный, личный"
89,空,クウ・ そら・ あく,"пуста, небо, быть пустым"
90,立,リツ ・ たつ ・ たてる,"стоять, ставить"
91,紙,シ・ かみ,бумага
92,耳,ジ・ みみ,ухо
93,聞,ブン・ モン・ きく ・ きこえる,"слышать, спрашивать, быть слышным, звучать"
94,花,カ・ はな,цветок
95,行,コウ・ ギョウ・ いく ・ ゆく ・ おこなう,"идти, ходить, уходить, совершать, осуществлять"
96,西,セイ・ サイ・ ス・ にし,Запад
97,見,ケン・ みる ・ みえる ・ みせる,"видеть, смотреть, виднеться, показываться, показывать"
98,言,ゲン・ ゴン・ いう,"слово, говорить"
99,話,ワ・ はなす ・ はなし,"говорить, рассказывать, разговор, беседа"
100,語,ゴ・ かたる,"язык, говорить, рассказывать"
101,読,ドク ・ よむ,читать
102,買,バイ・ かう,покупать
103,赤,セキ ・ あかい ・ あか,"красный, красный цвет"
104,走,ソウ・ はしる,"бежать, ехать (о машине)"
105,足,ソク ・ あし,нога
106,車,シャ・ くるま,"машина, повозка"
107,近,キン・ ちかい,близкий
108,週,シュウ,неделя
109,道,ドウ・ みち,"дорога, путь, расстояние"
110,金,キン・ コン・ かね,"золото, деньги, металл"
111,銀,ギン・ しろがね,серебро
112,長,チョウ・ ながい,длинный
113,間,カン・ ケン・ あいだ ・ ま,"интервал, промежуток, период, комната"
114,雨,ウ・ あめ ・ あま,дождь
115,電,デン,электричество
116,食,ショク ・ たべる,"еда, есть"
117,飲,イン・ のむ,пить
118,駅,エキ,станция
119,高,コウ・ たかい ・ たか ・ たかまる ・ たかめる,"высокий, дорогой, количество, повышение, повышаться, повышать"
120,魚,ギョ ・ さかな,рыба
