kanji;onyomi;kunyomi;meaning_ru;meaning_en
思;シ;おも;думать;to think, to believe
事;ジ;こと;дело, обстоятельство;thing, matter
私;シ;わたし、わたくし;я, свой, личный;I, me, private
自;ジ(シ);みずか;сам, свой, личный, свободный;self
方;ホー;かた;направление, способ, квадрат;direction, person
者;シャ;もの;человек, некто;person
心;シン;こころ;сердце, чувство, сердцевина, центр;heart, mind
家;カ(ケ);いえ;дом, суффикс для людей;house, home
物;ブツ、モツ;もの;вещь;thing
文;ブン、モン;ふみ;текст, письменность, фраза, культура;literature, sentence, letter
知;チ;し;знать;to know
作;サク、サ;つく;создавать;to make, to build
合;ゴー、ガッ;あ;соединять, подходить;to fit, to connect
持;ジ;も;держать, иметь;to own, to carry
意;イ;—;мысль, намерение, смысл;will, heart, meaning
地;チ、ジ;—;земля, почва;earth, land
度;ド;たび;раз, градус, величина;measure, degree
屋;オク;や;дом, крыша;room, house
同;ドー;おな;одинаковый, вышеупомянутый;same
不;フ(ブ);—;не (говоря о чём-то плохом);not
力;リョク、リキ;ちから、りき;сила;power, force
所;ショ;ところ;место, учреждение;a place
明;メイ、ミョー;あ、あか;яркий, очевидный, мудрость;light, brightness, to be open
通;ツー;とお、かよ;проходить, проезжать, общепринятый, знаток, улица;to pass
代;ダイ;か、よ;менять местами, эпоха, плата;generation, age, replace
顔;ガン;かお;лицо;face
理;リ;—;разум, принцип, закон, теория, управление чем-то;reason, principle
世;セ、セイ;よ;мир, эпоха, поколение;world, age
場;ジョー;ば;место, рынок, физ. поле;a place
田;デン;た;рисовое поле;rice field
主;シュ;ぬし、おも;хозяин;owner, main-
考;コー;かんが;размышлять;to think, thought
正;セイ、ショー;ただ(まさ);верный, правильный, справедливый;correct, right
動;ドー;うご;двигаться;to move
風;フー;かぜ;ветер, вид, манера, обычаи;wind, style
体;タイ(テイ);からだ;тело, вещество, корпус;body
声;セイ;こえ;голос;voice
夜;ヤ;よ、よる;ночь;night
青;セイ;あお;синий, голубой;blue, green, unripe
味;ミ;あじ;вкус;taste, to savor, to enjoy
切;セツ;き;резать;to cut, come to an end
近;キン;ちか;близкий;near
色;ショク、シキ;いろ;цвет, любовь, секс;color, sensuality
発;ハツ;—;испускать, вырабатывать, отправляться, развивать, выявлять;start, to leave, issue
以;イ;—;посредством, префикс направления;prefix
真;シン;ま;правда, честный, прямой, усиляющий префикс;truth, reality, purity
用;ヨー;もち;использовать, дело;issue, to use
頭;トー;あたま;голова;head, master540C
死;シ;し;смерть;death, to die
引;イン;ひ;тянуть;to pull, make cheaper
太;タイ;ふと;толстый, большой, великий;bold, thick
音;オン;おと、ね;звук;sound
親;シン;おや、した;родитель, родство, дружба, близость;parents, to be close, to be friends
帰;キ;かえ;возвращаться;return home, return
野;ヤ;の;поле, дикий;field
歩;ホ;ある、あゆ;шагать;to walk
仕;シ;つか;служить, делать;to serve
問;モン;と;вопрос;question, take care of
教;キョー;おし、おそ;учить, преподавать;to teach, to learn
有;ユー(ウ);あ;быть, иметь;to exist, to be, to have
着;チャク;き、つ;надевать, носить, прибывать, прилипать;arrival, clothes
悪;アク;わる;плохой;bad, mean
好;コー;この、す;нравиться;to like
別;ベツ;わか;другой, отделяться, расставаться;difference, to part
光;コー;ひかり、ひか;свет, сияние;light, to shine
村;ソン;むら;деревня;village
門;モン;かど;ворота, школа, род;gate
重;ジュー、チョー;おも、かさ;тяжёлый;heavy, serious, -fold
起;キ;お;подниматься, просыпаться, начинаться;stand up, start, cause
説;セツ;と;объяснять, убеждать, теория;opinion, theory, explain
字;ジ;あざ;буква, знак;character, sector of a village
朝;チョー;あさ;утро;morning
早;ソー;はや;рано, быстро;fast, early, to speed up
海;カイ;うみ;море;sea, ocean
町;チョー;まち;город (небольшой);city, quarter, district
開;カイ;ひら、あ;открывать;to open, vent, develop
集;シュー;あつ、つど;собирать;to meet, to gather
民;ミン;(たみ);народ;nation, people
強;キョー、ゴー;つよ;сильный;strong, make stronger, to force
待;タイ;ま;ждать;to wait
遠;エン;とお;далёкий;far away
紙;シ;かみ;бумага;paper
楽;ラク、ガク;たの;удовольствие, музыка;music, comfort, ease, joyful
題;ダイ;—;заглавие, тема;title, theme, subject
使;シ;つか;пользоваться;use, messenger
室;シツ;むろ;комната;room, cellar
始;シ;はじ;начинаться;start, to begin
黒;コク;くろ;чёрный;black
品;ヒン;しな;товар, качество чего-либо;product, quality
歌;カ;うた;песня;song, poem, to sing
界;カイ;—;мир, граница, физ. поле;world
病;ビョー;や、やまい;болеть;sickness, illness
