安	AN	yasu(i)	peace, cheap, safety
一	ICHI, ITSU	hito(tsu), hito-	one
飲	IN	no(mu)	to drink
右	U, YUU	migi	right
雨	U	ame	rain
駅	EKI	–	station
円	EN	maru(i)	circle, Yen, round
火	KA	hi	fire
花	KA	hana	flower, blossom
下	KA, GE	shimo, sa(geru), o(rosu), ku(daru)	below, down
何	KA	nani	what, how many, which
会	KAI, E	a(u)	to meet, to come together, society
外	GAI, GE	soto, hoka, hazu(reru), hazu(su)	outside, other, disconnect
学	GAKU	mana(bu)	school, science, learning
間	KAN, KEN	aida	time, time span
気	KI, KE	–	soul, spirit
九	KYUU, KU	kokono(tsu), kokono-	nine
休	KYUU	yasu(mu)	to rest
魚	GYO	sakana, uo	fish
金	KIN, KON	kane	gold, metal, money
空	KUU	sora, a(keru), kara	sky, to become free, empty
月	GETSU, GATSU	tsuki	month, moon
見	KEN	mi(ru), mi(eru), mi(seru)	to see, to be visible, to show
言	GEN, GON	i(u)	word, to talk
古	KO	furu(i)	old, used
五	GO	itsu(tsu), itsu-	five
後	GO, KOU	ato, oku(reru), nochi	after, later, back, to stay behind
午	GO	–	noon
語	GO	kata(ru), kata(rau)	word, to talk
校	KOU	–	school
口	KOU, KU	kuchi	mouth
行	KOU	i(ku), yu(ku), okona(u)	to walk. to go, to do, to carry out
高	KOU	taka(i), taka(maru), taka(meru)	high, expensive, increase, quantity
国	KOKU	kuni	country
今	KON, KIN	ima	now
左	SA	hidari	left
三	SAN	mit(tsu), mi-	three
山	SAN	yama	mountain
四	SHI	yo(ttsu), yu(tsu), yo-, yon-	four
子	SHI, SU	ko	child
耳	JI	mimi	ear
時	JI	toki	time, hour
七	SHICHI	nana(tsu), nana-, nano-	seven
車	SHA	kuruma	car, wheel
社	SHA	yashiro	shinto shrine, society
手	SHU	te	hand
週	SHUU	–	week
十	JUU, JI	too, to-	ten, cross
出	SHUTSU	da(su), de(ru)	to leave, to get out. to take out
書	SHO	ka(ku)	to write
女	JO, NYO	onna, me	woman, female
小	SHOU	chii(sai), ko-, o-	small
少	SHOU	suko(shi), suku(nai)	a little
上	SHOU, JOU	ue, kami, a(geru), a(garu)	above, upper
食	SHOKU	ta(beru), ku(ru), ku(rau)	to eat
新	SHIN	atara(shii), ara(ta), nii-	new
人	JIN, NIN	hito	person
水	SUI	mizu	water
生	SEI, SHOU	i(kiru), u(mu), ha(yasu), nama, ki	to live, to grow, to be born, raw
西	SEI, SAI	nishi	west
川	SEN	kawa	river
千	SEN	chi	thousand
先	SEN	saki	before, in future
前	ZEN	mae	before
足	SOKU	ashi, ta(riru), ta(su)	foot, to be sufficient, to add
多	TA	oo(i)	many
大	DAI, TAI	ou(kii), oo(i)	big, a lot
男	DAN, NAN	otoko	man, male
中	CHUU	naka	inner, center, between
長	CHOU	naga(i)	long, leader
天	TEN	ame, ama	sky
店	TEN	mise	shop
電	DEN	–	electricity
土	DO, TO	tsuchi	earth, ground
東	TOU	higashi	east
道	DOU	michi	street, path
読	DOKU	yo(mu)	to read
南	NAN	minami	south
ニ	NI	futa(tsu), futa-	two
日	NICHI, JITSU	hi, -ka	day, sun
入	NYUU	hai(ru), i(ru), i(reru)	to enter, to insert
年	NEN	toshi	year
買	BAI	ka(u)	to buy
白	HAKU, BYAKU	shiro(i), shiro	white
八	HACHI	yat(tsu), ya(tsu), ya-, you-	eight
半	HAN	naka(ba)	half, middle, semi-
百	HYAKU	–	hundred
父	FU	chichi	father
分	BUN, BU, FUN	wa(keru), wa(kareru), wa(karu)	part, minute, to divide, to understand
聞	BUN, MON	ki(ku), ki(koeru)	to hear, to listen, to ask
母	BO	haha	mother
北	HOKU	kita	north
木	BOKU, MOKU	ki, ko	tree, wood
本	HON	moto	book, source, main-
毎	MAI	–	each, every
万	MAN, BAN	–	ten thousand, all, many
名	MEI, MYOU	na	name, reputation
目	MOKU	me	eye
友	YUU	tomo	friend
来	RAI	ku(ru), kita(ru), kita(su)	to come
立	RITSU	ta(tsu), ta(teru)	to stand, to establish
六	ROKU	mutt(su), mu(tsu), mu, mui	six
話	WA	hanashi, hana(su)	speech, to talk, story, conversation
