Kanji;Kana;Romaji;Translation
油;あぶら;abura;oil
愛;あい;ai;love, affection, care
愛情;あいじょう;aijou;love, affection
相変わらず;;aikawarazu;as ever, as usual, the same
生憎;;ainiku;unfortunately\; sorry, but…
愛する;あいする;aisuru;to love
相手;あいて;aite;companion, partner
合図;あいず;aizu;sign, signal
明かり;あかり;akari;light, illumination, glow
明ける;;akeru;to dawn, to end (of a period, season)
空き;あき;aki;space, room, emptiness
空き家;;akiya;vacant house, unoccupied house​
明らか;あきらか;akiraka;obvious, evident, clear
諦める;あきらめる;akirameru;to give up, to abandon
飽きる;あきる;akiru;to get tired of
悪魔;あくま;akuma;demon, evil
握手;あくしゅ;akushu;handshake
余る;;amaru;to remain, to be left over
編む;;amu;to knit, to braid​
案;あん;an;idea, plan, thought
汗;あせ;ase;sweat, perspiration
穴;あな;ana;hole, deficit, vacancy
暗記;あんき;anki;memorization
安定;あんてい;antei;stability, equilibrium
粗い;あらい;arai;coarse, rough​
嵐;あらし;arashi;storm, tempest
新た;あらた;arata;new, fresh, novel
現れる;あらわれる;arawareru;to appear, to come in sight
表す;あらわす;arawasu;to represent, to show, to display
有らゆる;;arayuru;all, every
足元;;ashimoto;at one’s feet, under foot
与える;あたえる;ataeru;to give, to bestow
値;ね;atai;price, cost
辺り;;atari;neighborhood, nearby
当たる;あたる;ataru;to be hit, to strike
温める;;atatameru;to warm, to heat​
跡;あと;ato;trace, tracks, mark
扱う;あつかう;atsukau;to deal with, to treat
集まり;あつまり;atsumari;gathering, meeting
慌てる;;awateru;to panic​, to rush
誤り;あやまり;ayamari;error, mistake, slip
泡;あわ;awa;bubble, foam
哀れ;あわれ;aware;pity, sorrow, grief
合わせる;あわせる;awaseru;to match, to join together
預ける;あずける;azukeru;to give into custody
場;ば;ba;place, spot, scene
馬鹿;;baka;fool, idiot
莫大;ばくだい;bakudai;enormous, vast
爆発;ばくはつ;bakuhatsu;explosion, detonation
場面;ばめん;bamen;scene, setting
罰する;ばっする;bassuru;to punish, to penalize
弁護士;;bengoshi;lawyer, attorney​
別々;;betsubetsu;separately, individually​
美人;びじん;bijin;beautiful woman
微妙;びみょう;bimyou;delicate, subtle
瓶;びん;bin;bottle, jar
便;びん;bin;mail, post, flight
募集;;boshuu;recruitment, taking applications​, raising (funds)
棒;ぼう;bou;pole, rod, stick
冒険;ぼうけん;bouken;adventure, risk
部分;ぶぶん;bubun;portion, section, part
部品;;buhin;parts, components​
無事;ぶじ;buji;safety, peace
武器;ぶき;buki;weapon, arms
物価;ぶっか;bukka;prices of commodities
文;ぶん;bun;sentence
分;ぶ;bun;part, segment, share
文明;ぶんめい;bunmei;civilization
分類;;bunrui;categorization, sorting​
分析;ぶんせき;bunseki;analysis
文章;;bunshou;essay, article, composition
分野;ぶんや;bun’ya;field, sphere
無沙汰;;busata;not writing or contacting for a while
物質;ぶっしつ;busshitsu;material, substance
舞台;ぶたい;butai;stage
打つかる;;butsukaru;to strike against, to collide with
物理;ぶつり;butsuri;physics
秒;びょう;byou;second
平等;びょうどう;byoudou;equality, evenness
父親;ちちおや;chichioya;father
知恵;ちえ;chie;wisdom, wit
違い;ちがい;chigai;difference, discrepancy
地平線;ちへいせん;chiheisen;horizon
地方;ちほう;chihou;district, region, area
地位;ちい;chii;social position, status
地域;ちいき;chiiki;area, region
知事;ちじ;chiji;prefectural governor
