	ああ	ah	Ah!	ах
会う	あう	au	to meet	встретиться
青い	あおい	aoi	blue	синий
赤い	あかい	akai	red	красный
明るい	あかるい	akarui	light, bright	яркий
秋	あき	aki	autumn, fall	осень
開く	あく	aku	open	открыть
開ける	あける	akeru	to open	открыть
	あげる	ageru	to give	давать
朝	あさ	asa	morning	утро
朝ご飯	あさごはん	asagohan	breakfast	Завтрак
''	あさって	asatte	the day after tomorrow	Через мгновение
足	あし	ashi	leg, foot	ноги
明日	あした	ashita	tomorrow	завтра
''	あそこ	asoko	over there	вон там
遊ぶ	あそぶ	asobu	to play	играть
温かい	あたたかい	atatakai	warm	теплый
頭	あたま	atama	head	голова
新しい	あたらしい	atarashii	new	новый
''	あちら	achira	over there (polite)	там
暑い	あつい	atsui	hot (air)	горячий
厚い	あつい	atsui	thick	толстый
後	あと	ato	later, after	задний
貴方	あなた	anata	you	ты
兄	あに	ani	older brother	старший брат
姉	あね	ane	older sister	сестра
''	あの	ano	that (over there)	что
''	あの	ano	well, then	что
''	アパート	apaato	apartment	Квартира
浴びる	あびる	abiru	to take a shower	купать, купаться, принимать душ
危ない	あぶない	abunai	dangerous	опасный
甘い	あまい	amai	sweet	сладкий
''	あまり	amari	not so	немного
雨	あめ	ame	rain	дождь
洗う	あらう	arau	to wash	стирать
有る	ある	aru	to be, to exist	Иметь
''	ある	aru	to possess	быть
歩く	あるく	aruku	to walk	ходить
''	あれ	are	that one	Что
Kanji	Furigana	Romaji	Meaning	Чувство
良い	いい / よい	ii, yoi	good	хороший
''	いいえ	iie	no	нет
言う	いう	iu	to say, to tell	сказать
家	いえ	ie	house, home	дом
行く	いく	iku	to go	идти
''	いくつ	ikutsu	how many, how old	Сколько
''	いくら	ikura	how much	сколько?
池	いけ	ike	pond	пруд
医者	いしゃ	isha	doctor	доктор
椅子	いす	isu	chair	стул, кресло
忙しい	いそがしい	isogashii	to be busy	занятый
痛い	いたい	itai	to be painful	это больно
一	いち	ichi	one	один
一日	いちにち	ichinichi	one day	Один день
一番	いちばん	ichiban	No. 1, the best, the first	самый, лучший, первый номер
''	いつ	itsu	when	когда
五日	いつか	itsuka	the 5th day of the month, 5 days	Пять дней
一緒	いっしょ	issho	together	вместе
五つ	いつつ	itsutsu	five	Пять
''	いつも	itsumo	always	каждый раз
今	いま	ima	now	сейчас
意味	いみ	imi	meaning	значение
妹	いもうと	imouto	someone’s younger sister	младшая сестра
''	いや	iya	not likable, unpleasant	нет
入口	いりぐち	iriguchi	entrance	вход
	いる	iru	need, must have, be required	Быть
	いる	iru	to exist	Быть
入れる	いれる	ireru	to insert, to put in	вставить
色	いろ	iro	color	цвет, краска, окраска
色々	いろいろ	iroiro	various	различный
Kanji	Furigana	Romaji	Meaning	Чувство
上	うえ	ue	top, on, above	выше
後ろ	うしろ	ushiro	back, rear, behind	позади
薄い	うすい	usui	thin	тонкий
歌	うた	uta	song	песня
歌う	うたう	utau	to sing	петь
内	うち	uchi	home	Внутри
生まれる	うまれる	umareru	to be born	Быть рожденным
海	うみ	umi	sea	море
売る	うる	uru	to sell	продавать
上着	うわぎ	uwagi	coat, jacket	Куртка
Kanji	Furigana	Romaji	Meaning	Чувство
絵	え	e	picture	картина
映画	えいが	eiga	movie	фильм
映画館	えいがかん	eigakan	cinema	кинотеатр
英語	えいご	eigo	English language	Английский
''	ええ	ee	Yes, I see	Ага
駅	えき	eki	station	станция
''	エレベータ	erebeeta	elevator	Лифт
円	えん	en	Yen	круг
鉛筆	えんぴつ	enpitsu	pencil	карандаш
Kanji	Furigana	Romaji	Meaning	Чувство
御	お	o	honorific prefix	Ты
美味しい	おいしい	oishii	tasty, delicious	вкусный
大きい	おおきい	ookii	big	большой
	おおぜい	oozei	many people	Все
お母さん	おかあさん	okaasan	my own mother	мать
お菓子	おかし	okashi	confectionary, cake	конфета, сладость, сласть
お金	おかね	okane	money	деньги
起きる	おきる	okiru	to get up, to stand up	вставать
置く	おく	oku	to put, to place	помещать
奥さん	おくさん	okusan	someone’s wife	Жена
送る	おくる	okuru	to send	отправлять
お酒	おさけ	osake	alcohol, sake	Алкоголь
お皿	おさら	osara	plate	Тарелка
伯父さん	おじさん	ojisan	uncle	дядя
''	おじいさん	ojiisan	grand father	Дедушка
押す	おす	osu	to push	толкать
遅い	おそい	osoi	late, slow	медленный
お茶	おちゃ	ocha	tea	чай
お手洗い	おてあらい	otearai	toilet, lavatory	Туалет
お父さん	おとうさん	otousan	father	отец
弟	おとうと	otouto	someone’s younger brother	младший брат
男	おとこ	otoko	man	мужчина
男の子	おとこのこ	otokonoko	boy	мальчик
一昨日	おととい	ototoi	the day before yesterday	за день до вчерашнего дня
一昨年	おととし	ototoshi	the year before last	Два года назад
大人	おとな	otona	adult	взрослый
お腹	おなか	onaka	stomach	желудок
同じ	おなじ	onaji	same	такой же
お兄さん	おにいさん	oniisan	someone’s elder brother	Старший брат
お姉さん	おねえさん	oneesan	someone’s elder sister	Старшая сестра
伯母さん	おばさん	obasan	aunt	тетя
	おばあさん	obaasan	grandmother	Бабушка
お弁当	おべんとう	obentou	lunchbox	Обед
覚える	おぼえる	oboeru	to memorize, to remember	Учиться наизусть
重い	おもい	omoi	heavy	тяжелый
面白い	おもしろい	omoshiroi	interesting, funny	интересный
泳ぐ	およぐ	oyogu	to swim	плавать
降りる	おりる	oriru	to get off	Отправиться
終わる	おわる	owaru	to end	Конец
音楽	おんがく	ongaku	music	музыка
女	おんな	onna	woman	женщина
女の子	おんなのこ	onnanoko	girl	девочка
Kanji	Furigana	Romaji	Meaning	Чувство
〜回	〜かい	~kai	~times	~ раз
〜階	〜かい	~kai	~floor	~ Пол
外国	がいこく	gaikoku	foreign country	иностранная страна
外国人	がいこくじん	gaikokujin	foreigner	иностранец
会社	かいしゃ	kaisha	company, enterprise	компания
階段	かいだん	kaidan	stairs	Лестница
買物	かいもの	kaimono	shopping	покупки
買う	かう	kau	to buy	купить
返す	かえす	kaesu	to return an object	возвращаться
帰る	かえる	kaeru	to return home	Вернуться домой
顔	かお	kao	face	лицо
	かかる	kakaru	to take time, money	Быть
鍵	かぎ	kagi	key	ключ
書く	かく	kaku	to write	писать
学生	がくせい	gakusei	student	Студент
〜か月	〜かげつ	~kagetsu	~ number of months	Месяц
	かける	kakeru	to wear	надевать
	かける	kakeru	to make a phone call	надевать
傘	かさ	kasa	umbrella	зонтик
貸す	かす	kasu	to lend	одалживать
風	かぜ	kaze	wind	ветер
風邪	かぜ	kaze	a cold	холодный
家族	かぞく	kazoku	family	семья
方	かた	kata	person (polite)	направление
片仮名	かたかな	katakana	Katakana	Катакана
一月	いちがつ	ichigatsu	January	Январь
二月	にがつ	nigatsu	February	Февраль
三月	さんがつ	sangatsu	March	Маршировать
四月	しがつ	shigatsu	April	Апрель
五月	ごがつ	gogatsu	May	Может
六月	ろくがつ	rokugatsu	June	Июнь
七月	しちがつ	shichigatsu	July	Июль
八月	はちがつ	hachigatsu	August	Август
九月	くがつ	kugatsu	September	Сентябрь
十月	じゅうがつ	juugatsu	October	Октябрь
十一月	じゅういちがつ	juuichigatsu	November	Ноябрь
十二月	じゅうにがつ	juunigatsu	December	Декабрь
学校	がっこう	gakkou	school	школа
角	かど	kado	corner	угол
家内	かない	kanai	my wife	Дом
鞄	かばん	kaban	bag	сумка
花瓶	かびん	kabin	vase	ваза
冠る	かぶる	kaburu	to put on a hat	Быть коронованным
紙	かみ	kami	paper	бумага
カメラ	かめら	kamera	camera	камера
火曜日	かようび	kayoubi	Tuesday	Вторник
辛い	からい	karai	hot, spicy	жесткий
体	からだ	karada	body	тело
借りる	かりる	kariru	to borrow	занимать
	〜がります	~garimasu	3rd person wants to	~
軽い	かるい	karui	light (not heavy)	свет
''	カレンダー	karendaa	calendar	календарь
川	かわ	kawa	river	река
〜側	~がわ	~gawa	~side	~ сторона
可愛い	かわいい	kawaii	cute, pretty	милый
漢字	かんじ	kanji	Kanji character	Кандзи
Kanji	Furigana	Romaji	Meaning	Чувство
木	き	ki	tree	дерево
黄色い	きいろい	kiiroi	yellow	желтый
消える	きえる	kieru	to go out, to vanish	пропадать
聞く	きく	kiku	to hear, to listen, to ask	слушать
北	きた	kita	north	Север
''	ギター	gitaa	guitar	гитара
汚い	きたない	kitanai	dirty	грязный
喫茶店	きっさてん	kissaten	coffee shop	Кофейный магазин
切手	きって	kitte	stamp	штамп
切符	きっぷ	kippu	ticket	билет
昨日	きのう	kinou	yesterday	вчера
九	きゅう	kyuu	nine	Девять
牛肉	ぎゅうにく	gyuuniku	beef	говядина
