Kanji;Kana;Romaji;Translation;Part of Speech;Translation RU
油;あぶら;abura;oil;Noun;масло
愛;あい;ai;love, affection, care;Noun, Noun, used as a suffix;Любовь, привязанность, забота
愛情;あいじょう;aijou;love, affection;Noun, Noun which may take the genitive case particle 'no';любовь, привязанность
相変わらず;あいかわらず;aikawarazu;as ever, as usual, the same;Adverb (fukushi), Noun which may take the genitive case particle 'no';Как обычно, как обычно, то же самое
生憎;あいにく;ainiku;unfortunately, sorry, but…;Na-adjective (keiyodoshi), Adverb (fukushi), Noun, Noun which may take the genitive case particle 'no';к сожалению, к несчастью; жаль что...;
愛する;あいする;aisuru;to love;Suru verb - special class, Transitive verb;любить
相手;あいて;aite;companion, partner;Noun;Компаньон, партнер
合図;あいず;aizu;sign, signal;Noun, Suru verb, Transitive verb, Intransitive verb;знак, сигнал
明かり;あかり;akari;light, illumination, glow;Noun;Свет, освещение, сияние
明ける;あける;akeru;to dawn, to end (of a period, season);Ichidan verb, Transitive verb;До рассвета, чтобы закончить (в период, сезон)
空き;あき;aki;space, room, emptiness;Noun;Пространство, комната, пустота
空き家;あきや;akiya;vacant house, unoccupied house​;Noun;пустующий дом, незанятый дом
明らか;あきらか;akiraka;obvious, evident, clear;Na-adjective (keiyodoshi);Очевидно, очевидно, ясно
諦める;あきらめる;akirameru;to give up, to abandon;Ichidan verb, Transitive verb;сдаться, отказаться
飽きる;あきる;akiru;to get tired of;Ichidan verb, Suffix, Intransitive verb;чтобы устать от
悪魔;あくま;akuma;demon, evil;Noun;Демон, зло
握手;あくしゅ;akushu;handshake;Noun, Suru verb, Intransitive verb;рукопожатие
余る;あまる;amaru;to remain, to be left over;Godan verb with 'ru' ending, Intransitive verb;остаться, чтобы остаться
編む;あむ;amu;to knit, to braid​;Godan verb with 'mu' ending, Transitive verb;вязать, чтобы скоплять
案;あん;an;idea, plan, thought;Noun, Noun, used as a suffix;Идея, план, мысль
汗;あせ;ase;sweat, perspiration;Noun;Пот, Пот
穴;あな;ana;hole, deficit, vacancy;Noun;дыра, дефицит, вакансия
暗記;あんき;anki;memorization;Noun, Suru verb, Transitive verb;запоминание
安定;あんてい;antei;stability, equilibrium;Noun, Suru verb, Intransitive verb;Стабильность, равновесие
粗い;あらい;arai;coarse, rough​;I-adjective (keiyoushi);грубый, грубый
嵐;あらし;arashi;storm, tempest;Noun;Шторм, буря
新た;あらた;arata;new, fresh, novel;Na-adjective (keiyodoshi);Новый, свежий, роман
現れる;あらわれる;arawareru;to appear, to come in sight;Ichidan verb, Intransitive verb;появиться, чтобы прийти в виду
表す;あらわす;arawasu;to represent, to show, to display;Godan verb with 'su' ending, Transitive verb;представлять, показывать, отображать
有らゆる;あらゆる;arayuru;all, every;Pre-noun adjectival (rentaishi);все, каждый
足元;あしもと;ashimoto;at one’s feet, under foot;Noun, Noun which may take the genitive case particle 'no';на ногах, под ногой
与える;あたえる;ataeru;to give, to bestow;Ichidan verb, Transitive verb;дать, чтобы даровать
値;ね;atai;price, cost;Noun;цена, стоимость
辺り;あたり;atari;neighborhood, nearby;Noun, Noun, used as a suffix, Adverb (fukushi);Соседство, поблизости
当たる;あたる;ataru;to be hit, to strike;Godan verb with 'ru' ending, Intransitive verb;быть ударом, ударить
温める;あたためる;atatameru;to warm, to heat​;Ichidan verb, Transitive verb;нагреть, нагревать
跡;あと;ato;trace, tracks, mark;Noun;трассировка, треки, Марк
扱う;あつかう;atsukau;to deal with, to treat;Godan verb with 'u' ending, Transitive verb;иметь дело, чтобы лечить
集まり;あつまり;atsumari;gathering, meeting;Noun;Сбор, встреча
慌てる;あわてる;awateru;to panic​, to rush;Ichidan verb, Intransitive verb;паниковать, спешить
誤り;あやまり;ayamari;error, mistake, slip;Noun;Ошибка, ошибка, скольжение
泡;あわ;awa;bubble, foam;Noun;пузырь, пена
哀れ;あわれ;aware;pity, sorrow, grief;Noun;Жаль, печаль, горе
合わせる;あわせる;awaseru;to match, to join together;Ichidan verb, Transitive verb;Чтобы соответствовать, объединиться
預ける;あずける;azukeru;to give into custody;Ichidan verb, Transitive verb;чтобы поддерживать
場;ば;ba;place, spot, scene;Noun;место, пятно, сцена
馬鹿;ばか;baka;fool, idiot;Noun;Дурак, идиот
莫大;ばくだい;bakudai;enormous, vast;Na-adjective (keiyodoshi);огромный, обширный
爆発;ばくはつ;bakuhatsu;explosion, detonation;Noun, Suru verb, Intransitive verb;Взрыв, детонация
場面;ばめん;bamen;scene, setting;Noun;сцена, настройка
罰する;ばっする;bassuru;to punish, to penalize;Suru verb - special class, Transitive verb;наказать, наказывать
弁護士;べんごし;bengoshi;lawyer, attorney​;Noun;Адвокат, адвокат
別々;べつべつ;betsubetsu;separately, individually​;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;отдельно, индивидуально
美人;びじん;bijin;beautiful woman;Noun;красивая женщина
微妙;びみょう;bimyou;delicate, subtle;Na-adjective (keiyodoshi), Noun;тонкий, тонкий
瓶;びん;bin;bottle, jar;Noun;бутылка, банка
便;びん;bin;mail, post, flight;Noun, Noun, used as a suffix;Почта, почта, рейс
募集;ぼしゅう;boshuu;recruitment, taking applications​, raising (funds);Noun, Suru verb, Transitive verb;набор, подача заявок, повышение (фонды)
棒;ぼう;bou;pole, rod, stick;Noun;Полюс, стержень, палка
冒険;ぼうけん;bouken;adventure, risk;Noun, Suru verb, Intransitive verb;Приключение, риск
部分;ぶぶん;bubun;portion, section, part;Noun;часть, раздел, часть
部品;ぶひん;buhin;parts, components​;Noun;детали, компоненты
無事;ぶじ;buji;safety, peace;Noun, Na-adjective (keiyodoshi);Безопасность, мир
武器;ぶき;buki;weapon, arms;Noun;Оружие, оружие
物価;ぶっか;bukka;prices of commodities;Noun;Цены на товары
文;ぶん;bun;sentence;Noun;предложение
分;ぶ;bun;part, segment, share;Noun, Noun, used as a suffix;Часть, сегмент, поделиться
文明;ぶんめい;bunmei;civilization;Noun;цивилизация
分類;ぶんるい;bunrui;categorization, sorting​;Noun, Suru verb, Transitive verb;Категоризация, сортировка
分析;ぶんせき;bunseki;analysis;Noun, Suru verb, Transitive verb;анализ
文章;ぶんしょう;bunshou;essay, article, composition;Noun;Эссе, статья, композиция
分野;ぶんや;bun’ya;field, sphere;Noun;поле, сфера
無沙汰;ぶさた;busata;not writing or contacting for a while;Noun, Suru verb, Intransitive verb;не писать и не связываться на некоторое время
物質;ぶっしつ;busshitsu;material, substance;Noun;Материал, вещество
舞台;ぶたい;butai;stage;Noun;этап
打つかる;ぶつかる;butsukaru;to strike against, to collide with;Godan verb with 'ru' ending, Intransitive verb;нанести удар, чтобы столкнуться с
物理;ぶつり;butsuri;physics;Noun;физика
秒;びょう;byou;second;Noun;второй
平等;びょうどう;byoudou;equality, evenness;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';Равенство, равномерность
父親;ちちおや;chichioya;father;Noun;отец
知恵;ちえ;chie;wisdom, wit;Noun;Мудрость, остроумие
違い;ちがい;chigai;difference, discrepancy;Noun;разница, расхождение
地平線;ちへいせん;chiheisen;horizon;Noun;горизонт
地方;ちほう;chihou;district, region, area;Noun;Район, регион, район
地位;ちい;chii;social position, status;Noun;социальная позиция, статус
地域;ちいき;chiiki;area, region;Noun;Площадь, регион
知事;ちじ;chiji;prefectural governor;Noun;Префектурный губернатор
